timestamp,buy_volume,sell_volume
2010-11-16T00:00:00.000Z,0,0
2010-11-17T00:00:00.000Z,0,0
2010-11-18T00:00:00.000Z,0,0
2010-11-19T00:00:00.000Z,0,0
2010-11-20T00:00:00.000Z,0,0
2010-11-21T00:00:00.000Z,50,0
2010-11-22T00:00:00.000Z,0,0
2010-11-23T00:00:00.000Z,0.05,0
2010-11-24T00:00:00.000Z,0,0
2010-11-25T00:00:00.000Z,0,0
2010-11-26T00:00:00.000Z,0,0
2010-11-27T00:00:00.000Z,0,0
2010-11-28T00:00:00.000Z,0,0
2010-11-29T00:00:00.000Z,0,0
2010-11-30T00:00:00.000Z,0,0
2010-12-01T00:00:00.000Z,0,0
2010-12-02T00:00:00.000Z,0,0
2010-12-03T00:00:00.000Z,0,0
2010-12-04T00:00:00.000Z,1,0
2010-12-05T00:00:00.000Z,0,0
2010-12-06T00:00:00.000Z,160,0
2010-12-07T00:00:00.000Z,116.23,264.94
2010-12-08T00:00:00.000Z,0,0
2010-12-09T00:00:00.000Z,0,0
2010-12-10T00:00:00.000Z,0,0
2010-12-11T00:00:00.000Z,0,0
2010-12-12T00:00:00.000Z,0,0
2010-12-13T00:00:00.000Z,0,0
2010-12-14T00:00:00.000Z,0,0
2010-12-15T00:00:00.000Z,0,0
2010-12-16T00:00:00.000Z,0,0
2010-12-17T00:00:00.000Z,0,0
2010-12-18T00:00:00.000Z,0,0
2010-12-19T00:00:00.000Z,50,0
2010-12-20T00:00:00.000Z,0.24,389
2010-12-21T00:00:00.000Z,0.7000000000000001,0
2010-12-22T00:00:00.000Z,0.47000000000000003,0
2010-12-23T00:00:00.000Z,242.88000000000002,0
2010-12-24T00:00:00.000Z,291.09,0
2010-12-25T00:00:00.000Z,0.1,0
2010-12-26T00:00:00.000Z,0.08,0
2010-12-27T00:00:00.000Z,0.05,0
2010-12-28T00:00:00.000Z,10.069999999999999,0
2010-12-29T00:00:00.000Z,0,300
2010-12-30T00:00:00.000Z,0,0
2010-12-31T00:00:00.000Z,0,0
2011-01-01T00:00:00.000Z,0,0
2011-01-02T00:00:00.000Z,0.25,0
2011-01-03T00:00:00.000Z,0,0
2011-01-04T00:00:00.000Z,58.26,0
2011-01-05T00:00:00.000Z,225.64000000000004,0
2011-01-06T00:00:00.000Z,10.020000000000001,0
2011-01-07T00:00:00.000Z,15.33,0
2011-01-08T00:00:00.000Z,21.14,0
2011-01-09T00:00:00.000Z,20.480000000000004,0
2011-01-10T00:00:00.000Z,12.03,0
2011-01-11T00:00:00.000Z,19.04,0
2011-01-12T00:00:00.000Z,1.3800000000000003,0
2011-01-13T00:00:00.000Z,353.7699999999999,0
2011-01-14T00:00:00.000Z,556.5199999999995,0
2011-01-15T00:00:00.000Z,1.6400000000000006,0
